,Energy (kcal/mol)
struct_0,-48.326585862623
struct_1,-48.309380466037
struct_2,-48.310740967323
struct_3,-48.312376665743
struct_4,-48.310803561797
struct_5,-48.306005672716
struct_6,-48.311910382
struct_7,-48.316096754322
struct_8,-48.315989619632
struct_9,-48.313253547575
struct_10,-48.308530000133
struct_11,-48.306042018915
struct_12,-48.308951246862
struct_13,-48.311743627059
struct_14,-48.307510309112
struct_15,-48.307055347159
struct_16,-48.311641576676
struct_17,-48.31224484075
struct_18,-48.314429315616
struct_19,-48.310301704459
struct_20,-48.31091248415
struct_21,-48.310909289139
struct_22,-48.309501959996
struct_23,-48.312907111466
struct_24,-48.314994710355
struct_25,-48.312213260467
struct_26,-48.307897926253
struct_27,-48.309642529125
struct_28,-48.309927678523
struct_29,-48.31237154914
struct_30,-48.307617955372
struct_31,-48.30756026538
struct_32,-48.311133975158
struct_33,-48.303934045496
struct_34,-48.309693608713
struct_35,-48.307555012405
struct_36,-48.304075344164
struct_37,-48.305510827052
struct_38,-48.311146425532
struct_39,-48.307665763528
struct_40,-48.303482450483
struct_41,-48.314822120601
struct_42,-48.313965406269
struct_43,-48.309113109161
struct_44,-48.31335387074
struct_45,-48.31833458831
struct_46,-48.311026407832
struct_47,-48.311619936961
struct_48,-48.314570536325
struct_49,-48.311304870192
struct_50,-48.310476409639
struct_51,-48.310032153319
struct_52,-48.308967628201
struct_53,-48.305043188155
struct_54,-48.308299471088
struct_55,-48.30651474356
struct_56,-48.305502174213
struct_57,-48.320455709253
struct_58,-48.310807257898
struct_59,-48.307482848872
struct_60,-48.317467487087
struct_61,-48.317712620097
struct_62,-48.313488179238
struct_63,-48.316594259932
struct_64,-48.308602776772
struct_65,-48.313360375057
struct_66,-48.310909104324
struct_67,-48.311275203141
struct_68,-48.315976572532
struct_69,-48.310296888149
struct_70,-48.317061933919
struct_71,-48.306524115049
struct_72,-48.312495189277
struct_73,-48.308050728756
struct_74,-48.315105234613
struct_75,-48.307948375961
struct_76,-48.316130371929
struct_77,-48.313243653487
struct_78,-48.307139820169
struct_79,-48.313547409247
